carId	trackId	trackLength	lapIndex	lapNum	lapFlag	binIndex	validBin	lap_time	world_position_X	world_position_Y	world_position_Z	world_right_X	world_right_Y	world_right_Z	velocity_X	velocity_Y	velocity_Z	gforce_Y	race_position	throttle	brake	steering	gear	rpm
My Team	Shanghai	5441	0	0	0	0	1	0.016	-102.965	327.792	-2.80408	0.255104	-0.966796	0.0144353	73.197	-0.0123229	-0.175043	-0.000508666	15	1	0	-0	7	10244
My Team	Shanghai	5441	0	0	0	1	1	0.016	-102.965	327.792	-2.80408	0.255104	-0.966796	0.0144353	73.197	-0.0123229	-0.175043	-0.000508666	15	1	0	-0	7	10244
My Team	Shanghai	5441	0	0	0	2	1	0.0285	-101.188	328.262	-2.8064	0.255112	-0.966796	0.0142445	73.3206	-0.0119782	-0.178196	-0.000207812	15	1	0	0	7	10261.2
My Team	Shanghai	5441	0	0	0	3	1	0.041	-99.4105	328.731	-2.80872	0.25512	-0.966796	0.0140538	73.4442	-0.0116335	-0.181348	9.32617e-05	15	1	0	0	7	10278.5
My Team	Shanghai	5441	0	0	0	4	1	0.0535	-97.6331	329.2	-2.81104	0.255127	-0.966796	0.013863	73.5678	-0.0112887	-0.184501	0.000394313	15	1	0	0	7	10295.8
My Team	Shanghai	5441	0	0	0	5	1	0.066	-95.8558	329.669	-2.81335	0.255135	-0.966796	0.0136723	73.6914	-0.010944	-0.187654	0.000695087	15	1	0	-0	7	10313
My Team	Shanghai	5441	0	0	0	6	1	0.0785	-94.9634	329.905	-2.81443	0.255135	-0.966796	0.0135884	73.7525	-0.0108528	-0.187586	0.000704915	15	1	0	0	7	10321.5
My Team	Shanghai	5441	0	0	0	7	1	0.091	-94.071	330.141	-2.81551	0.255135	-0.966796	0.0135044	73.8136	-0.0107615	-0.187518	0.00071474	15	1	0	0	7	10330
My Team	Shanghai	5441	0	0	0	8	1	0.1035	-93.1786	330.376	-2.81658	0.255135	-0.966796	0.0134205	73.8747	-0.0106703	-0.18745	0.000724562	15	1	0	0	7	10338.5
My Team	Shanghai	5441	0	0	0	9	1	0.116	-92.2862	330.612	-2.81766	0.255135	-0.966796	0.0133366	73.9357	-0.010579	-0.187382	0.000734381	15	1	0	-0	7	10347
My Team	Shanghai	5441	0	0	0	10	1	0.132667	-91.0919	330.927	-2.81912	0.255135	-0.966796	0.0132145	74.0167	-0.0104746	-0.186042	0.000740897	15	1	0	0	7	10358
My Team	Shanghai	5441	0	0	0	11	1	0.149333	-89.8975	331.243	-2.82059	0.255135	-0.966796	0.0130924	74.0976	-0.0103702	-0.184702	0.000747407	15	1	0	0	7	10369
My Team	Shanghai	5441	0	0	0	12	1	0.166	-88.7031	331.558	-2.82205	0.255135	-0.966796	0.0129704	74.1785	-0.0102658	-0.183362	0.000753909	15	1	0	-0	7	10380
My Team	Shanghai	5441	0	0	0	13	1	0.1785	-87.8036	331.796	-2.82316	0.255142	-0.966796	0.0128712	74.2388	-0.0102048	-0.182567	0.000767705	15	1	0	0	7	10388.2
My Team	Shanghai	5441	0	0	0	14	1	0.191	-86.9041	332.033	-2.82427	0.25515	-0.966796	0.012772	74.2991	-0.0101437	-0.181772	0.000781497	15	1	0	0	7	10396.5
My Team	Shanghai	5441	0	0	0	15	1	0.2035	-86.0046	332.271	-2.82537	0.255158	-0.966796	0.0126728	74.3594	-0.0100827	-0.180978	0.000795284	15	1	0	0	7	10404.8
My Team	Shanghai	5441	0	0	0	16	1	0.216	-85.1051	332.508	-2.82648	0.255165	-0.966796	0.0125736	74.4198	-0.0100216	-0.180183	0.000809066	15	1	0	-0	7	10413
My Team	Shanghai	5441	0	0	0	17	1	0.2285	-84.2029	332.746	-2.82756	0.255165	-0.966796	0.0124897	74.4796	-0.00994753	-0.179717	0.000783819	15	1	0	0	7	10421.2
My Team	Shanghai	5441	0	0	0	18	1	0.241	-83.3008	332.985	-2.82864	0.255165	-0.966796	0.0124058	74.5395	-0.00987344	-0.179251	0.000758561	15	1	0	0	7	10429.5
My Team	Shanghai	5441	0	0	0	19	1	0.2535	-82.3986	333.223	-2.82973	0.255165	-0.966796	0.0123219	74.5993	-0.00979935	-0.178786	0.000733295	15	1	0	0	7	10437.8
My Team	Shanghai	5441	0	0	0	20	1	0.266	-81.4964	333.461	-2.83081	0.255165	-0.966796	0.0122379	74.6592	-0.00972525	-0.17832	0.000708021	15	1	0	-0	7	10446
My Team	Shanghai	5441	0	0	0	21	1	0.283	-80.289	333.78	-2.8322	0.255165	-0.966796	0.012126	74.7384	-0.00967381	-0.177868	0.000703732	15	1	0	0	7	10457
My Team	Shanghai	5441	0	0	0	22	1	0.3	-79.0817	334.099	-2.83359	0.255165	-0.966796	0.0120141	74.8176	-0.00962237	-0.177417	0.000699431	15	1	0	0	7	10468
My Team	Shanghai	5441	0	0	0	23	1	0.317	-77.8743	334.418	-2.83498	0.255165	-0.966796	0.0119022	74.8968	-0.00957092	-0.176965	0.000695117	15	1	0	-0	7	10479
My Team	Shanghai	5441	0	0	0	24	1	0.3295	-76.9676	334.657	-2.836	0.255173	-0.966796	0.0118107	74.9557	-0.00955176	-0.176631	0.000607207	15	1	0	0	7	10487
My Team	Shanghai	5441	0	0	0	25	1	0.342	-76.0609	334.896	-2.83702	0.255181	-0.966796	0.0117191	75.0145	-0.00953259	-0.176297	0.000519296	15	1	0	0	7	10495
My Team	Shanghai	5441	0	0	0	26	1	0.3545	-75.1543	335.136	-2.83804	0.255188	-0.966796	0.0116276	75.0734	-0.00951343	-0.175962	0.000431384	15	1	0	0	7	10503
My Team	Shanghai	5441	0	0	0	27	1	0.367	-74.2476	335.375	-2.83906	0.255196	-0.966796	0.011536	75.1322	-0.00949426	-0.175628	0.000343472	15	1	0	-0	7	10511
My Team	Shanghai	5441	0	0	0	28	1	0.3795	-73.3359	335.616	-2.84009	0.255196	-0.966796	0.0114521	75.1907	-0.00947638	-0.174979	0.000222255	15	1	0	0	7	10519
My Team	Shanghai	5441	0	0	0	29	1	0.392	-72.4243	335.857	-2.84111	0.255196	-0.966796	0.0113681	75.2491	-0.0094585	-0.17433	0.000101037	15	1	0	0	7	10527
My Team	Shanghai	5441	0	0	0	30	1	0.4045	-71.5126	336.098	-2.84214	0.255196	-0.966796	0.0112842	75.3076	-0.00944062	-0.17368	-2.01799e-05	15	1	0	0	7	10535
My Team	Shanghai	5441	0	0	0	31	1	0.417	-70.601	336.338	-2.84316	0.255196	-0.966796	0.0112003	75.366	-0.00942274	-0.173031	-0.000141397	15	1	0	-0	7	10543
My Team	Shanghai	5441	0	0	0	32	1	0.4295	-69.6887	336.579	-2.84417	0.255196	-0.966796	0.0111087	75.4237	-0.00938892	-0.172702	-0.000180901	15	1	0	0	7	10550.8
My Team	Shanghai	5441	0	0	0	33	1	0.442	-68.7763	336.82	-2.84517	0.255196	-0.966796	0.0110172	75.4814	-0.00935509	-0.172373	-0.000220405	15	1	0	0	7	10558.5
My Team	Shanghai	5441	0	0	0	34	1	0.4545	-67.864	337.061	-2.84617	0.255196	-0.966796	0.0109256	75.539	-0.00932127	-0.172044	-0.000259908	15	1	0	0	7	10566.2
My Team	Shanghai	5441	0	0	0	35	1	0.467	-66.9517	337.302	-2.84718	0.255196	-0.966796	0.0108341	75.5967	-0.00928745	-0.171714	-0.000299409	15	1	0	-0	7	10574
My Team	Shanghai	5441	0	0	0	36	1	0.4795	-66.0347	337.544	-2.84815	0.255196	-0.966803	0.0107425	75.6538	-0.00925665	-0.171281	-0.000289325	15	1	0	0	7	10582
My Team	Shanghai	5441	0	0	0	37	1	0.492	-65.1176	337.786	-2.84913	0.255196	-0.966811	0.010651	75.711	-0.00922584	-0.170848	-0.00027924	15	1	0	0	7	10590
My Team	Shanghai	5441	0	0	0	38	1	0.5045	-64.2006	338.029	-2.85011	0.255196	-0.966819	0.0105594	75.7682	-0.00919504	-0.170415	-0.000269156	15	1	0	0	7	10598
My Team	Shanghai	5441	0	0	0	39	1	0.517	-63.2836	338.271	-2.85109	0.255196	-0.966826	0.0104678	75.8253	-0.00916424	-0.169982	-0.000259072	15	1	0	-0	7	10606
My Team	Shanghai	5441	0	0	0	40	1	0.533667	-62.0598	338.594	-2.85237	0.255196	-0.966826	0.0103356	75.9005	-0.00915145	-0.169354	-0.00021677	15	1	0	0	7	10616
My Team	Shanghai	5441	0	0	0	41	1	0.550333	-60.836	338.917	-2.85365	0.255196	-0.966826	0.0102034	75.9757	-0.00913866	-0.168726	-0.000174468	15	1	0	0	7	10626
My Team	Shanghai	5441	0	0	0	42	1	0.567	-59.6122	339.24	-2.85494	0.255196	-0.966826	0.0100711	76.0509	-0.00912587	-0.168097	-0.000132166	15	1	0	-0	7	10636
My Team	Shanghai	5441	0	0	0	43	1	0.5795	-58.6914	339.483	-2.85588	0.255196	-0.966826	0.00997955	76.1067	-0.00908321	-0.16783	-0.00012752	15	1	0	0	7	10643.5
My Team	Shanghai	5441	0	0	0	44	1	0.592	-57.7705	339.727	-2.85683	0.255196	-0.966826	0.009888	76.1626	-0.00904054	-0.167563	-0.000122872	15	1	0	0	7	10651
My Team	Shanghai	5441	0	0	0	45	1	0.6045	-56.8496	339.97	-2.85778	0.255196	-0.966826	0.00979644	76.2184	-0.00899787	-0.167296	-0.000118221	15	1	0	0	7	10658.5
My Team	Shanghai	5441	0	0	0	46	1	0.617	-55.9287	340.213	-2.85872	0.255196	-0.966826	0.00970489	76.2742	-0.0089552	-0.167028	-0.000113569	15	1	0	-0	7	10666
My Team	Shanghai	5441	0	0	0	47	1	0.6295	-55.0044	340.457	-2.85963	0.255196	-0.966826	0.0096057	76.3294	-0.00890915	-0.16663	-9.5061e-05	15	1	0	0	7	10673.5
My Team	Shanghai	5441	0	0	0	48	1	0.642	-54.0801	340.701	-2.86055	0.255196	-0.966826	0.00950652	76.3847	-0.0088631	-0.166231	-7.6552e-05	15	1	0	0	7	10681
My Team	Shanghai	5441	0	0	0	49	1	0.6545	-53.1558	340.945	-2.86146	0.255196	-0.966826	0.00940733	76.4399	-0.00881706	-0.165832	-5.80424e-05	15	1	0	0	7	10688.5
My Team	Shanghai	5441	0	0	0	50	1	0.667	-52.2315	341.189	-2.86237	0.255196	-0.966826	0.00930815	76.4951	-0.00877101	-0.165434	-3.95328e-05	15	1	0	-0	7	10696
My Team	Shanghai	5441	0	0	0	51	1	0.6795	-51.305	341.434	-2.86327	0.255196	-0.966826	0.00921659	76.5497	-0.00874492	-0.165069	-6.9486e-05	15	1	0	0	7	10703.5
My Team	Shanghai	5441	0	0	0	52	1	0.692	-50.3784	341.679	-2.86416	0.255196	-0.966826	0.00912503	76.6043	-0.00871884	-0.164703	-9.94392e-05	15	1	0	0	7	10711
My Team	Shanghai	5441	0	0	0	53	1	0.7045	-49.4518	341.924	-2.86506	0.255196	-0.966826	0.00903348	76.6589	-0.00869275	-0.164338	-0.000129392	15	1	0	0	7	10718.5
My Team	Shanghai	5441	0	0	0	54	1	0.717	-48.5253	342.168	-2.86595	0.255196	-0.966826	0.00894192	76.7135	-0.00866667	-0.163973	-0.000159346	15	1	0	-0	7	10726
My Team	Shanghai	5441	0	0	0	55	1	0.7295	-47.5953	342.414	-2.86685	0.255196	-0.966826	0.00884274	76.7676	-0.00860954	-0.16332	-0.000195997	15	1	0	0	7	10733.5
My Team	Shanghai	5441	0	0	0	56	1	0.742	-46.6654	342.659	-2.86774	0.255196	-0.966826	0.00874355	76.8216	-0.00855241	-0.162667	-0.000232648	15	1	0	0	7	10741
My Team	Shanghai	5441	0	0	0	57	1	0.7545	-45.7355	342.905	-2.86864	0.255196	-0.966826	0.00864437	76.8757	-0.00849529	-0.162014	-0.000269299	15	1	0	0	7	10748.5
My Team	Shanghai	5441	0	0	0	58	1	0.767	-44.8056	343.151	-2.86954	0.255196	-0.966826	0.00854518	76.9298	-0.00843816	-0.161361	-0.000305951	15	1	0	-0	7	10756
My Team	Shanghai	5441	0	0	0	59	1	0.7795	-43.8743	343.396	-2.87041	0.255196	-0.966826	0.00845363	76.9832	-0.00836754	-0.161022	-0.00037131	15	1	0	0	7	10763
